full_name,id,short_name,lat,lng
Kabupaten Asahan,1209,Asahan,2.8174722,99.634135
Kabupaten Batu Bara,1219,Batu Bara,3.1740979,99.5006143
Kabupaten Dairi,1211,Dairi,2.8675801,98.265058
Kabupaten Deli Serdang,1207,Deli Serdang,3.4201802,98.704075
Kabupaten Humbang Hasundutan,1216,Humbang Hasundutan,2.1988508,98.5721016
Kabupaten Karo,1206,Karo,3.1052909,98.265058
Kabupaten Labuhanbatu,1210,Labuhanbatu,2.3439863,100.1703257
Kabupaten Labuhanbatu Selatan,1222,Labuhanbatu Selatan,1.8799353,100.1703257
Kabupaten Labuhanbatu Utara,1223,Labuhanbatu Utara,2.3465638,99.8124935
Kabupaten Langkat,1205,Langkat,3.8653916,98.3088441
Kabupaten Mandailing Natal,1213,Mandailing Natal,0.7432372,99.3673084
Kabupaten Nias,1204,Nias,-8.1712591,113.7111274
Kabupaten Nias Barat,1225,Nias Barat,1.1255279,97.5247243
Kabupaten Nias Selatan,1214,Nias Selatan,0.7086091,97.8286368
Kabupaten Nias Utara,1224,Nias Utara,1.1255279,97.5247243
Kabupaten Padang Lawas,1221,Padang Lawas,1.1186977,99.8124935
Kabupaten Padang Lawas Utara,1220,Padang Lawas Utara,1.5758644,99.634135
Kabupaten Pakpak Bharat,1215,Pakpak Bharat,2.545786,98.299838
Kabupaten Samosir,1217,Samosir,2.5833333,98.8166667
Kabupaten Serdang Bedagai,1218,Serdang Bedagai,3.3371694,99.0571089
Kabupaten Simalungun,1208,Simalungun,2.9781612,99.2785583
Kabupaten Tapanuli Selatan,1203,Tapanuli Selatan,1.5774933,99.2785583
Kabupaten Tapanuli Tengah,1201,Tapanuli Tengah,1.8493299,98.704075
Kabupaten Tapanuli Utara,1202,Tapanuli Utara,2.0405246,99.1013498
Kabupaten Toba Samosir,1212,Toba Samosir,2.3502398,99.2785583
Kota Binjai,1275,Binjai,3.594462,98.482246
Kota Gunungsitoli,1278,Gunungsitoli,1.281964,97.61594
Kota Medan,1271,Medan,3.585242,98.6755979
Kota Padangsidimpuan,1277,Padangsidimpuan,1.380424,99.273972
Kota Pematang Siantar,1272,Pematang Siantar,2.96,99.06
Kota Sibolga,1273,Sibolga,1.7403745,98.7827988
Kota Tanjung Balai,1274,Tanjung Balai,2.965122,99.800331
Kota Tebing Tinggi,1276,Tebing Tinggi,3.3856205,99.2009815
