kab-kota,sekolah,murid,guru,rasio-murid-guru,tipe,tahun
Nias,163,22440,1883,12,SD,2020/2021
Mandailing Natal,408,64371,5139,13,SD,2020/2021
Tapanuli Selatan,286,38908,2786,14,SD,2020/2021
Tapanuli Tengah,320,40015,3398,12,SD,2020/2021
Tapanuli Utara,386,41556,3442,12,SD,2020/2021
Toba Samosir,225,26280,2099,13,SD,2020/2021
Labuhanbatu,282,56367,3300,17,SD,2020/2021
Asahan,443,75821,4894,15,SD,2020/2021
Simalungun,812,96918,7325,13,SD,2020/2021
Dairi,258,40271,2762,15,SD,2020/2021
Karo,294,43455,2928,15,SD,2020/2021
Deli Serdang,906,203194,11704,17,SD,2020/2021
Langkat,643,102448,7094,14,SD,2020/2021
Nias Selatan,354,42754,4058,11,SD,2020/2021
Humbang Hasundutan,218,28068,2066,14,SD,2020/2021
Pakpak Bharat,58,5992,702,9,SD,2020/2021
Samosir,195,18454,1705,11,SD,2020/2021
Serdang Bedagai,474,73163,4715,16,SD,2020/2021
Batu Bara,248,48206,2975,16,SD,2020/2021
Padang Lawas Utara,220,37246,2516,15,SD,2020/2021
Padang Lawas,192,36685,1877,20,SD,2020/2021
Labuhanbatu Selatan,199,37657,2246,17,SD,2020/2021
Labuhanbatu Utara,290,44040,3021,15,SD,2020/2021
Nias Utara,165,18499,1903,10,SD,2020/2021
Nias Barat,107,12360,1524,8,SD,2020/2021
Sibolga,34,10269,700,15,SD,2020/2021
Tanjung Balai,77,17026,959,18,SD,2020/2021
Pematang Siantar,162,28388,1708,17,SD,2020/2021
Tebing Tinggi,98,18503,1091,17,SD,2020/2021
Medan,875,232353,13471,17,SD,2020/2021
Binjai,164,31395,2212,14,SD,2020/2021
Padangsidimpuan,95,23661,1524,16,SD,2020/2021
Gunungsitoli,105,17751,1490,12,SD,2020/2021
Nias,52,10938,842,13,SMP,2020/2021
Mandailing Natal,85,15387,1955,8,SMP,2020/2021
Tapanuli Selatan,50,11553,1050,11,SMP,2020/2021
Tapanuli Tengah,81,18595,1355,14,SMP,2020/2021
Tapanuli Utara,79,22475,1461,15,SMP,2020/2021
Toba Samosir,50,13427,961,14,SMP,2020/2021
Labuhanbatu,68,17393,1065,16,SMP,2020/2021
Asahan,110,26280,1814,14,SMP,2020/2021
Simalungun,151,38857,2655,15,SMP,2020/2021
Dairi,63,20588,1233,17,SMP,2020/2021
Karo,65,21702,1491,15,SMP,2020/2021
Deli Serdang,317,81497,4987,16,SMP,2020/2021
Langkat,170,37777,2804,13,SMP,2020/2021
Nias Selatan,137,21412,2024,11,SMP,2020/2021
Humbang Hasundutan,46,14529,995,15,SMP,2020/2021
Pakpak Bharat,26,2948,383,8,SMP,2020/2021
Samosir,34,9656,621,16,SMP,2020/2021
Serdang Bedagai,90,24372,1488,16,SMP,2020/2021
Batu Bara,57,17163,1063,16,SMP,2020/2021
Padang Lawas Utara,41,5597,684,8,SMP,2020/2021
Padang Lawas,38,4909,593,8,SMP,2020/2021
Labuhanbatu Selatan,48,9795,670,15,SMP,2020/2021
Labuhanbatu Utara,50,12501,928,13,SMP,2020/2021
Nias Utara,56,9985,868,12,SMP,2020/2021
Nias Barat,39,6706,840,8,SMP,2020/2021
Sibolga,13,5456,373,15,SMP,2020/2021
Tanjung Balai,21,7706,512,15,SMP,2020/2021
Pematang Siantar,41,17819,1141,16,SMP,2020/2021
Tebing Tinggi,25,10257,591,17,SMP,2020/2021
Medan,391,111448,6677,17,SMP,2020/2021
Binjai,51,15231,1124,14,SMP,2020/2021
Padangsidimpuan,26,9831,750,13,SMP,2020/2021
Gunungsitoli,35,9356,711,13,SMP,2020/2021
Nias,11,4193,250,17,SMA,2020/2021
Mandailing Natal,24,8628,710,12,SMA,2020/2021
Tapanuli Selatan,12,4925,355,14,SMA,2020/2021
Tapanuli Tengah,24,10017,613,16,SMA,2020/2021
Tapanuli Utara,26,13740,781,18,SMA,2020/2021
Toba Samosir,16,8303,494,17,SMA,2020/2021
Labuhanbatu,33,12401,776,16,SMA,2020/2021
Asahan,43,15875,880,18,SMA,2020/2021
Simalungun,48,20036,1223,16,SMA,2020/2021
Dairi,24,10624,604,18,SMA,2020/2021
Karo,24,13502,780,17,SMA,2020/2021
Deli Serdang,132,35669,2209,16,SMA,2020/2021
Langkat,68,20582,1231,17,SMA,2020/2021
Nias Selatan,65,12187,1004,12,SMA,2020/2021
Humbang Hasundutan,15,8322,496,17,SMA,2020/2021
Pakpak Bharat,5,2211,164,13,SMA,2020/2021
Samosir,13,6030,357,17,SMA,2020/2021
Serdang Bedagai,39,13082,752,17,SMA,2020/2021
Batu Bara,22,8075,436,19,SMA,2020/2021
Padang Lawas Utara,11,4287,301,14,SMA,2020/2021
Padang Lawas,10,3576,298,12,SMA,2020/2021
Labuhanbatu Selatan,18,6041,361,17,SMA,2020/2021
Labuhanbatu Utara,17,8369,510,16,SMA,2020/2021
Nias Utara,15,4577,341,13,SMA,2020/2021
Nias Barat,15,3883,275,14,SMA,2020/2021
Sibolga,9,4613,254,18,SMA,2020/2021
Tanjung Balai,11,6408,348,18,SMA,2020/2021
Pematang Siantar,28,15418,928,17,SMA,2020/2021
Tebing Tinggi,15,6594,389,17,SMA,2020/2021
Medan,221,70799,4488,16,SMA,2020/2021
Binjai,29,10054,752,13,SMA,2020/2021
Padangsidimpuan,19,7714,610,13,SMA,2020/2021
Gunungsitoli,12,4884,315,16,SMA,2020/2021
